"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"07.06.2025 18:49:49";"07.06.2025";"";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"07.06.2025 18:49:48";"07.06.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"07.06.2025 11:48:53";"07.06.2025";"";"OK";"-32,67";"RUB";"-32,67";"RUB";"";"Интернет";"";"ДОМ.RU";"0,00";"0,00";"32,67"
"07.06.2025 10:34:27";"07.06.2025";"*2572";"OK";"-106,00";"RUB";"-106,00";"RUB";"1";"Супермаркеты";"5499";"Славица";"1,00";"0,00";"106,00"
"07.06.2025 08:49:16";"07.06.2025";"*2572";"OK";"-89,99";"RUB";"-89,99";"RUB";"";"Супермаркеты";"5411";"Магнит";"0,00";"0,00";"89,99"
"06.06.2025 21:27:53";"06.06.2025";"*2572";"OK";"-399,59";"RUB";"-399,59";"RUB";"3";"Супермаркеты";"5411";"Пятёрочка";"3,00";"0,00";"399,59"
"06.06.2025 21:27:43";"06.06.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"06.06.2025 21:27:43";"06.06.2025";"";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"06.06.2025 21:18:15";"07.06.2025";"*2572";"OK";"-35,00";"RUB";"-35,00";"RUB";"";"Супермаркеты";"5499";"IP Aksinichenko Nv";"0,00";"0,00";"35,00"
"06.06.2025 21:17:36";"06.06.2025";"*2572";"OK";"-119,98";"RUB";"-119,98";"RUB";"1";"Супермаркеты";"5499";"Красное и белое";"1,00";"0,00";"119,98"
"06.06.2025 20:25:39";"06.06.2025";"";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"06.06.2025 20:25:38";"06.06.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"06.06.2025 07:28:50";"06.06.2025";"*2572";"OK";"-316,97";"RUB";"-316,97";"RUB";"3";"Супермаркеты";"5411";"Пятёрочка";"3,00";"0,00";"316,97"
"05.06.2025 23:43:10";"06.06.2025";"*1581";"OK";"100,00";"RUB";"100,00";"RUB";"";"Переводы";"";"Андрей К.";"0,00";"0,00";"100,00"
"05.06.2025 22:42:03";"06.06.2025";"*2572";"OK";"-409,97";"RUB";"-409,97";"RUB";"4";"Супермаркеты";"5411";"Пятёрочка";"4,00";"0,00";"409,97"
"05.06.2025 15:56:26";"05.06.2025";"*2572";"OK";"-149,00";"RUB";"-149,00";"RUB";"7";"Аптеки";"5912";"Аптека Вита";"7,00";"0,00";"149,00"
"05.06.2025 15:52:48";"05.06.2025";"*2572";"OK";"-318,87";"RUB";"-318,87";"RUB";"3";"Супермаркеты";"5411";"Пятёрочка";"3,00";"0,00";"318,87"
"05.06.2025 15:33:17";"05.06.2025";"*2572";"OK";"-178,88";"RUB";"-178,88";"RUB";"1";"Супермаркеты";"5499";"Красное и белое";"1,00";"0,00";"178,88"
"05.06.2025 15:29:15";"05.06.2025";"*1581";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Метакся Г.";"0,00";"0,00";"1000,00"
"04.06.2025 22:50:45";"05.06.2025";"*2572";"OK";"-356,96";"RUB";"-356,96";"RUB";"3";"Супермаркеты";"5411";"Пятёрочка";"3,00";"0,00";"356,96"
"04.06.2025 22:46:52";"05.06.2025";"";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"04.06.2025 22:46:51";"05.06.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"04.06.2025 18:48:44";"04.06.2025";"*2572";"OK";"-159,98";"RUB";"-159,98";"RUB";"1";"Супермаркеты";"5499";"Бристоль";"1,00";"0,00";"159,98"
"04.06.2025 08:49:03";"04.06.2025";"";"OK";"-206,00";"RUB";"-206,00";"RUB";"";"Переводы";"";"Гульнара Г.";"0,00";"0,00";"206,00"
"04.06.2025 08:47:12";"04.06.2025";"";"OK";"-100,00";"RUB";"-100,00";"RUB";"";"Переводы";"";"Николай Р.";"0,00";"0,00";"100,00"
"04.06.2025 08:43:46";"04.06.2025";"";"OK";"-472,00";"RUB";"-472,00";"RUB";"";"Переводы";"";"Татьяна М.";"0,00";"0,00";"472,00"
"04.06.2025 08:35:35";"04.06.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"04.06.2025 08:35:34";"04.06.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"03.06.2025 19:22:34";"03.06.2025";"*2572";"OK";"-199,98";"RUB";"-199,98";"RUB";"1";"Супермаркеты";"5499";"Красное и белое";"1,00";"0,00";"199,98"
"03.06.2025 13:20:44";"04.06.2025";"*2572";"OK";"-35,00";"RUB";"-35,00";"RUB";"";"Супермаркеты";"5499";"IP Aksinichenko Nv";"0,00";"0,00";"35,00"
"03.06.2025 13:18:56";"03.06.2025";"*2572";"OK";"-243,96";"RUB";"-243,96";"RUB";"2";"Супермаркеты";"5411";"Магнит";"2,00";"0,00";"243,96"
"03.06.2025 13:17:41";"03.06.2025";"";"OK";"526,00";"RUB";"526,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"526,00"
"03.06.2025 13:17:40";"03.06.2025";"";"OK";"-526,00";"RUB";"-526,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"526,00"
"03.06.2025 12:12:30";"03.06.2025";"";"OK";"-349,00";"RUB";"-349,00";"RUB";"";"Переводы";"";"Гульнара Г.";"0,00";"0,00";"349,00"
"03.06.2025 12:04:18";"03.06.2025";"*2572";"OK";"-199,98";"RUB";"-199,98";"RUB";"1";"Супермаркеты";"5499";"Красное и белое";"1,00";"0,00";"199,98"
"03.06.2025 11:58:45";"03.06.2025";"";"OK";"-1500,00";"RUB";"-1500,00";"RUB";"";"Переводы";"";"Алексей П.";"0,00";"0,00";"1500,00"
"03.06.2025 10:29:43";"03.06.2025";"";"OK";"-1400,00";"RUB";"-1400,00";"RUB";"";"Переводы";"";"Денис Б.";"0,00";"0,00";"1400,00"
"03.06.2025 10:17:43";"03.06.2025";"*2572";"OK";"-99,99";"RUB";"-99,99";"RUB";"";"Супермаркеты";"5411";"Магнит";"0,00";"0,00";"99,99"
"03.06.2025 01:25:17";"03.06.2025";"";"OK";"-3225,00";"RUB";"-3225,00";"RUB";"";"Переводы";"";"Аноним";"0,00";"0,00";"3225,00"
"02.06.2025 07:26:40";"02.06.2025";"*2572";"OK";"-199,00";"RUB";"-199,00";"RUB";"1";"Цифровые товары";"5815";"VK Музыка";"1,00";"0,00";"199,00"
"02.06.2025 07:07:46";"02.06.2025";"*2572";"OK";"-225,96";"RUB";"-225,96";"RUB";"2";"Супермаркеты";"5411";"Пятёрочка";"2,00";"0,00";"225,96"
"01.06.2025 22:28:55";"01.06.2025";"";"OK";"1,45";"RUB";"1,45";"RUB";"";"Проценты";"";"Проценты на остаток";"0,00";"0,00";"1,45"
"01.06.2025 17:54:34";"02.06.2025";"*2572";"OK";"-414,00";"RUB";"-414,00";"RUB";"4";"Местный транспорт";"4111";"Экспресс-пригород";"4,00";"0,00";"414,00"
"01.06.2025 16:02:07";"01.06.2025";"*2572";"OK";"-441,96";"RUB";"-441,96";"RUB";"4";"Супермаркеты";"5411";"Пятёрочка";"4,00";"0,00";"441,96"
"01.06.2025 15:31:14";"01.06.2025";"*2572";"OK";"-257,00";"RUB";"-257,00";"RUB";"2";"Фастфуд";"5814";"Aik Бистро";"2,00";"0,00";"257,00"
"01.06.2025 15:13:25";"01.06.2025";"*2572";"OK";"-106,89";"RUB";"-106,89";"RUB";"1";"Супермаркеты";"5499";"Бристоль";"1,00";"0,00";"106,89"
